Datetime,Symbol,Buy Price,Sell Price,Profit
"Ticker
    2025-04-17 15:00:00+00:00
Name: 77, dtype: object",AAPL,"Ticker
AAPL    195.782593
Name: 76, dtype: object","Ticker
AAPL    195.910004
Name: 77, dtype: object","Ticker
AAPL    0.127411
dtype: object"
"Ticker
    2025-04-17 15:05:00+00:00
Name: 82, dtype: object",AAPL,"Ticker
AAPL    195.559998
Name: 81, dtype: object","Ticker
AAPL    195.639999
Name: 82, dtype: object","Ticker
AAPL    0.080002
dtype: object"
"Ticker
    2025-04-17 15:06:00+00:00
Name: 83, dtype: object",AAPL,"Ticker
AAPL    195.639999
Name: 82, dtype: object","Ticker
AAPL    196.490005
Name: 83, dtype: object","Ticker
AAPL    0.850006
dtype: object"
"Ticker
    2025-04-17 15:08:00+00:00
Name: 85, dtype: object",AAPL,"Ticker
AAPL    196.270004
Name: 84, dtype: object","Ticker
AAPL    196.5
Name: 85, dtype: object","Ticker
AAPL    0.229996
dtype: object"
"Ticker
    2025-04-17 15:10:00+00:00
Name: 87, dtype: object",AAPL,"Ticker
AAPL    196.309998
Name: 86, dtype: object","Ticker
AAPL    196.460007
Name: 87, dtype: object","Ticker
AAPL    0.150009
dtype: object"
"Ticker
    2025-04-17 15:11:00+00:00
Name: 88, dtype: object",AAPL,"Ticker
AAPL    196.460007
Name: 87, dtype: object","Ticker
AAPL    196.586594
Name: 88, dtype: object","Ticker
AAPL    0.126587
dtype: object"
"Ticker
    2025-04-17 15:12:00+00:00
Name: 89, dtype: object",AAPL,"Ticker
AAPL    196.586594
Name: 88, dtype: object","Ticker
AAPL    196.758698
Name: 89, dtype: object","Ticker
AAPL    0.172104
dtype: object"
"Ticker
    2025-04-17 15:13:00+00:00
Name: 90, dtype: object",AAPL,"Ticker
AAPL    196.758698
Name: 89, dtype: object","Ticker
AAPL    196.799301
Name: 90, dtype: object","Ticker
AAPL    0.040604
dtype: object"
"Ticker
    2025-04-17 15:14:00+00:00
Name: 91, dtype: object",AAPL,"Ticker
AAPL    196.799301
Name: 90, dtype: object","Ticker
AAPL    196.884995
Name: 91, dtype: object","Ticker
AAPL    0.085693
dtype: object"
"Ticker
    2025-04-17 15:17:00+00:00
Name: 94, dtype: object",AAPL,"Ticker
AAPL    196.419998
Name: 93, dtype: object","Ticker
AAPL    196.748596
Name: 94, dtype: object","Ticker
AAPL    0.328598
dtype: object"
"Ticker
    2025-04-17 15:18:00+00:00
Name: 95, dtype: object",AAPL,"Ticker
AAPL    196.748596
Name: 94, dtype: object","Ticker
AAPL    196.890198
Name: 95, dtype: object","Ticker
AAPL    0.141602
dtype: object"
"Ticker
    2025-04-17 15:19:00+00:00
Name: 96, dtype: object",AAPL,"Ticker
AAPL    196.890198
Name: 95, dtype: object","Ticker
AAPL    196.949997
Name: 96, dtype: object","Ticker
AAPL    0.059799
dtype: object"
"Ticker
    2025-04-17 15:23:00+00:00
Name: 100, dtype: object",AAPL,"Ticker
AAPL    196.460007
Name: 99, dtype: object","Ticker
AAPL    196.600006
Name: 100, dtype: object","Ticker
AAPL    0.139999
dtype: object"
"Ticker
    2025-04-17 15:24:00+00:00
Name: 101, dtype: object",AAPL,"Ticker
AAPL    196.600006
Name: 100, dtype: object","Ticker
AAPL    196.660004
Name: 101, dtype: object","Ticker
AAPL    0.059998
dtype: object"
"Ticker
    2025-04-17 15:30:00+00:00
Name: 107, dtype: object",AAPL,"Ticker
AAPL    196.039993
Name: 106, dtype: object","Ticker
AAPL    196.339996
Name: 107, dtype: object","Ticker
AAPL    0.300003
dtype: object"
"Ticker
    2025-04-17 15:31:00+00:00
Name: 108, dtype: object",AAPL,"Ticker
AAPL    196.339996
Name: 107, dtype: object","Ticker
AAPL    196.617401
Name: 108, dtype: object","Ticker
AAPL    0.277405
dtype: object"
"Ticker
    2025-04-17 15:32:00+00:00
Name: 109, dtype: object",AAPL,"Ticker
AAPL    196.617401
Name: 108, dtype: object","Ticker
AAPL    196.647202
Name: 109, dtype: object","Ticker
AAPL    0.0298
dtype: object"
"Ticker
    2025-04-17 15:37:00+00:00
Name: 114, dtype: object",AAPL,"Ticker
AAPL    196.300003
Name: 113, dtype: object","Ticker
AAPL    196.919998
Name: 114, dtype: object","Ticker
AAPL    0.619995
dtype: object"
"Ticker
    2025-04-17 15:39:00+00:00
Name: 116, dtype: object",AAPL,"Ticker
AAPL    196.477203
Name: 115, dtype: object","Ticker
AAPL    196.735001
Name: 116, dtype: object","Ticker
AAPL    0.257797
dtype: object"
"Ticker
    2025-04-17 15:40:00+00:00
Name: 117, dtype: object",AAPL,"Ticker
AAPL    196.735001
Name: 116, dtype: object","Ticker
AAPL    196.751404
Name: 117, dtype: object","Ticker
AAPL    0.016403
dtype: object"
"Ticker
    2025-04-17 15:43:00+00:00
Name: 120, dtype: object",AAPL,"Ticker
AAPL    196.309998
Name: 119, dtype: object","Ticker
AAPL    196.389999
Name: 120, dtype: object","Ticker
AAPL    0.080002
dtype: object"
"Ticker
    2025-04-17 15:46:00+00:00
Name: 123, dtype: object",AAPL,"Ticker
AAPL    196.169998
Name: 122, dtype: object","Ticker
AAPL    196.320007
Name: 123, dtype: object","Ticker
AAPL    0.150009
dtype: object"
"Ticker
    2025-04-17 15:47:00+00:00
Name: 124, dtype: object",AAPL,"Ticker
AAPL    196.320007
Name: 123, dtype: object","Ticker
AAPL    196.399994
Name: 124, dtype: object","Ticker
AAPL    0.079987
dtype: object"
"Ticker
    2025-04-17 15:48:00+00:00
Name: 125, dtype: object",AAPL,"Ticker
AAPL    196.399994
Name: 124, dtype: object","Ticker
AAPL    196.5
Name: 125, dtype: object","Ticker
AAPL    0.100006
dtype: object"
"Ticker
    2025-04-17 15:51:00+00:00
Name: 128, dtype: object",AAPL,"Ticker
AAPL    196.070007
Name: 127, dtype: object","Ticker
AAPL    196.687607
Name: 128, dtype: object","Ticker
AAPL    0.617599
dtype: object"
"Ticker
    2025-04-17 15:54:00+00:00
Name: 131, dtype: object",AAPL,"Ticker
AAPL    196.160004
Name: 130, dtype: object","Ticker
AAPL    196.214996
Name: 131, dtype: object","Ticker
AAPL    0.054993
dtype: object"
"Ticker
    2025-04-17 15:55:00+00:00
Name: 132, dtype: object",AAPL,"Ticker
AAPL    196.214996
Name: 131, dtype: object","Ticker
AAPL    196.580002
Name: 132, dtype: object","Ticker
AAPL    0.365005
dtype: object"
"Ticker
    2025-04-17 16:00:00+00:00
Name: 137, dtype: object",AAPL,"Ticker
AAPL    196.110001
Name: 136, dtype: object","Ticker
AAPL    196.399994
Name: 137, dtype: object","Ticker
AAPL    0.289993
dtype: object"
"Ticker
    2025-04-17 16:01:00+00:00
Name: 138, dtype: object",AAPL,"Ticker
AAPL    196.399994
Name: 137, dtype: object","Ticker
AAPL    196.520004
Name: 138, dtype: object","Ticker
AAPL    0.12001
dtype: object"
"Ticker
    2025-04-17 16:03:00+00:00
Name: 140, dtype: object",AAPL,"Ticker
AAPL    196.5
Name: 139, dtype: object","Ticker
AAPL    196.559998
Name: 140, dtype: object","Ticker
AAPL    0.059998
dtype: object"
